                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.5088,                 0.5432,                 1.0267,                 0.8062,                0.85926,                0.79938,                0.68773,                0.42331,                 81.245,                0.73949,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     75,                  0.517,                 0.5287,                 1.0351,                0.81013,                0.85926,                0.79938,                0.65399,                0.48145,                 87.304,                0.82327,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     76,                0.51175,                0.51687,                 1.0248,                0.81524,                0.87229,                0.98767,                0.83994,                0.50058,                 91.974,                0.85325,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     77,                0.52101,                0.52124,                 1.0384,                 0.8078,                0.82888,                0.95762,                0.79767,                0.42318,                 95.665,                0.76287,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     78,                0.51603,                0.52018,                 1.0274,                0.82185,                0.82398,                0.94631,                0.82654,                0.38269,                 92.161,                0.72423,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     79,                0.50521,                0.50527,                 1.0341,                0.80622,                0.83808,                0.80279,                0.64308,                 0.5031,                 91.061,                0.86707,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     80,                0.52267,                0.52533,                 1.0376,                0.75803,                0.85562,                0.79683,                0.67671,                0.43917,                 92.579,                0.78014,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     81,                0.50265,                0.50786,                 1.0248,                0.81109,                 0.7816,                0.79938,                0.68471,                0.42462,                 90.718,                0.75353,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     82,                0.51988,                0.51541,                  1.036,                0.81067,                0.77066,                0.79688,                0.67669,                0.42494,                 86.314,                0.75087,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     83,                0.51324,                 0.5106,                 1.0304,                0.78726,                0.84268,                0.79343,                0.66343,                0.45578,                 89.318,                0.80087,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     84,                0.48742,                0.49697,                 1.0229,                0.80322,                0.82222,                0.94806,                0.78832,                0.44549,                 96.646,                0.78838,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     85,                0.49439,                0.49111,                 1.0249,                0.77562,                0.85926,                0.94704,                  0.836,                0.39939,                 86.065,                0.72118,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     86,                0.50293,                0.49068,                 1.0291,                0.79572,                0.81705,                0.80074,                0.68897,                0.40258,                 89.387,                0.72636,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     87,                0.49299,                 0.4745,                 1.0176,                0.80672,                0.81437,                0.80324,                0.70334,                0.34511,                 87.754,                0.66391,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     88,                0.48637,                0.47297,                 1.0116,                0.80027,                0.82222,                0.80074,                0.69418,                0.39818,                 87.427,                0.71544,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     89,                0.50106,                0.49573,                 1.0258,                0.80199,                0.85926,                0.79093,                0.68511,                0.43878,                 87.282,                0.77067,              4.289e-05,              4.289e-05,              4.289e-05
                     90,                0.50003,                0.50152,                 1.0258,                0.81114,                0.79082,                0.81072,                0.67873,                 0.4487,                 89.492,                 0.7796,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     91,                0.35285,                0.31222,                0.93851,                0.78167,                0.80923,                0.80279,                0.67843,                0.38589,                 90.992,                0.70359,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     92,                0.34275,                0.29568,                0.92805,                0.78884,                0.81064,                0.79912,                0.67709,                0.40694,                 96.606,                0.72838,                3.3e-05,                3.3e-05,                3.3e-05
                     93,                 0.3466,                0.29311,                0.93376,                0.80712,                 0.8228,                0.80731,                0.69472,                0.39523,                 94.808,                0.73813,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     94,                0.33594,                0.28729,                0.92683,                0.81398,                 0.8252,                0.81439,                0.71669,                0.36856,                 92.595,                0.69898,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     95,                0.34433,                0.28677,                0.93286,                0.80358,                0.81968,                0.80095,                0.68781,                0.40979,                 92.697,                0.74926,              2.311e-05,              2.311e-05,              2.311e-05
                     96,                 0.3345,                 0.2805,                0.92759,                 0.7998,                0.81863,                0.81139,                0.70611,                0.40106,                 95.655,                0.73126,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     97,                 0.3307,                0.28036,                0.92978,                0.81134,                0.79728,                0.81439,                 0.7015,                0.37967,                 97.634,                0.70736,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     98,                0.32684,                0.27683,                0.91928,                 0.8095,                0.79786,                0.81439,                0.71437,                0.39334,                 98.018,                0.72138,              1.322e-05,              1.322e-05,              1.322e-05
                     99,                0.33058,                0.27569,                0.91467,                0.80592,                0.80697,                0.81439,                0.71006,                0.40041,                 97.797,                0.73674,             9.9234e-06,             9.9234e-06,             9.9234e-06
                    100,                0.32839,                0.27516,                0.91649,                0.81301,                0.80203,                0.81439,                0.70436,                0.39821,                 98.183,                0.73165,             6.6267e-06,             6.6267e-06,             6.6267e-06
